st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2014-01-31 09:03:00;2014-01-31 17:41:00;518;3.5;6.5;1.3;2014-01-31 09:38:00;2014-01-31 17:41:00;483;3.6;12.7;1.3;2014-01-31 09:03:00;2014-01-31 16:18:00;435;4.8;6.4;1.9;2014-01-31 09:11:00;2014-01-31 14:42:00;331;2.1;13.2;1.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-03-15 08:39:00;2014-03-15 14:01:00;322;3.7;9.9;3.9;2014-03-15 08:39:00;2014-03-15 11:45:00;186;4.3;29.7;6.5;2014-03-15 08:47:00;2014-03-15 11:41:00;174;3.3;6;3;2014-03-15 08:47:00;2014-03-15 11:41:00;174;3.4;5.8;3.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-03-18 16:23:00;2014-03-19 01:17:00;534;3;5.9;2;2014-03-18 16:24:00;2014-03-18 22:53:00;389;2.9;5.9;2.4;2014-03-18 16:26:00;2014-03-18 22:50:00;384;3.3;6;2.4;2014-03-18 16:23:00;2014-03-18 22:50:00;387;2.8;5.8;2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-03-22 16:51:00;2014-03-23 04:00:00;669;4.8;17.9;5.8;2014-03-22 16:51:00;2014-03-23 03:39:00;648;6;47.8;13.7;2014-03-22 16:52:00;2014-03-23 04:00:00;668;3.8;12;3;2014-03-22 16:52:00;2014-03-23 03:46:00;654;4.5;11.8;5.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-03-23 07:05:00;2014-03-23 22:09:00;904;10.6;5.9;2.2;2014-03-23 07:07:00;2014-03-23 20:23:00;796;11;5.9;2.4;2014-03-23 07:05:00;2014-03-23 19:26:00;741;10.7;6;3;2014-03-23 07:06:00;2014-03-23 19:51:00;765;10.1;5.8;2.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-03-24 01:43:00;2014-03-24 18:21:00;998;11.5;7.9;4.3;2014-03-24 01:55:00;2014-03-24 14:31:00;756;12.3;11.9;5.3;2014-03-24 01:43:00;2014-03-24 14:39:00;776;11.1;6;3;2014-03-24 01:52:00;2014-03-24 14:29:00;757;11.3;11.8;6.5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-04-26 17:57:00;2014-04-26 20:21:00;144;2.8;12.2;9.4;NA;NA;NA;NA;NA;NA;2014-04-26 17:57:00;2014-04-26 18:34:00;37;3.1;17.9;10.7;2014-04-26 18:07:00;2014-04-26 18:36:00;29;5.4;36.5;24.7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-04-28 14:40:00;2014-04-28 17:11:00;151;3.8;14;10.7;2014-04-28 14:45:00;2014-04-28 15:37:00;52;3.7;17.8;8.9;2014-04-28 14:49:00;2014-04-28 15:35:00;46;2.9;17.8;8.4;2014-04-28 14:40:00;2014-04-28 15:30:00;50;4.8;30.1;17.3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-05-02 14:37:00;2014-05-02 18:31:00;234;5;7.9;5.1;2014-05-02 14:57:00;2014-05-02 16:41:00;104;4.6;11.9;5.9;2014-05-02 14:37:00;2014-05-02 17:06:00;149;5.5;12;6;2014-05-02 14:59:00;2014-05-02 16:34:00;95;5;11.8;6.4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2014-05-07 06:30:00;2014-05-07 15:01:00;511;7.1;7.9;6.5;2014-05-07 06:43:00;2014-05-07 13:05:00;382;6.8;11.9;7.1;2014-05-07 06:33:00;2014-05-07 13:03:00;390;7;12;6;2014-05-07 06:30:00;2014-05-07 14:22:00;472;7.5;11.8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
