time;RG1;RG2;RG3
10/14/2014 05:27:00;5.94;0;5.94
10/14/2014 05:28:00;0;6.03;5.94
10/14/2014 05:29:00;5.94;6.03;5.94
10/14/2014 05:30:00;5.94;0;5.94
10/14/2014 05:31:00;0;6.03;3.06
10/14/2014 05:32:00;5.94;6.03;2.91
10/14/2014 05:33:00;5.94;6.03;5.97
10/14/2014 05:34:00;5.94;6.03;5.94
10/14/2014 05:35:00;5.94;6.03;5.94
10/14/2014 05:36:00;0;3;3.03
10/14/2014 05:37:00;5.94;3.03;5.94
10/14/2014 05:38:00;5.94;6.03;5.94
10/14/2014 05:39:00;0;0;5.94
10/14/2014 05:40:00;5.94;6.03;2.91
10/14/2014 05:41:00;0;0;3.03
10/14/2014 05:42:00;5.94;3.06;6
10/14/2014 05:43:00;0;3;0
10/14/2014 05:44:00;5.94;0;5.97
10/14/2014 05:45:00;0;6.06;0
10/14/2014 05:46:00;0;0;0
10/14/2014 05:47:00;5.94;3.03;6.06
10/14/2014 05:48:00;0;3;0
10/14/2014 05:49:00;0;0;0
10/14/2014 05:50:00;0;0;0
10/14/2014 05:51:00;5.94;0;3.21
10/14/2014 05:52:00;0;0;2.91
10/14/2014 05:53:00;0;0;0
10/14/2014 05:54:00;0;3.06;0
10/14/2014 05:55:00;0;0;0
10/14/2014 05:56:00;0;0;0
10/14/2014 05:57:00;0;3;0
10/14/2014 05:58:00;0;0;0
10/14/2014 05:59:00;5.94;0;0
10/14/2014 06:00:00;0;0;0
10/14/2014 06:01:00;0;0;0
10/14/2014 06:02:00;0;0;0
10/14/2014 06:03:00;0;0;0
10/14/2014 06:04:00;0;0;3.21
10/14/2014 06:05:00;0;0;0
10/14/2014 06:06:00;0;0;0
10/14/2014 06:07:00;0;0;2.91
10/14/2014 06:08:00;0;3.06;0
10/14/2014 06:09:00;0;0;0
10/14/2014 06:10:00;0;3;0
10/14/2014 06:11:00;5.94;0;0
10/14/2014 06:12:00;0;0;0
10/14/2014 06:13:00;0;0;0
10/14/2014 06:14:00;0;3.06;0
10/14/2014 06:15:00;0;3;0
10/14/2014 06:16:00;0;0;0
10/14/2014 06:17:00;5.94;0;0
10/14/2014 06:18:00;0;0;3.21
10/14/2014 06:19:00;0;0;0
10/14/2014 06:20:00;0;3.06;2.91
10/14/2014 06:21:00;0;3;0
10/14/2014 06:22:00;0;0;0
10/14/2014 06:23:00;0;0;3.21
10/14/2014 06:24:00;0;0;0
10/14/2014 06:25:00;5.94;0;0
10/14/2014 06:26:00;0;6.06;0
10/14/2014 06:27:00;0;0;0
10/14/2014 06:28:00;0;3;2.91
10/14/2014 06:29:00;0;6.03;3.21
10/14/2014 06:30:00;0;3.03;0
10/14/2014 06:31:00;5.94;6.03;6.03
10/14/2014 06:32:00;5.94;6.03;0
10/14/2014 06:33:00;5.94;0;5.97
10/14/2014 06:34:00;0;6.03;3.06
10/14/2014 06:35:00;5.94;6.03;2.91
10/14/2014 06:36:00;5.94;0;5.94
10/14/2014 06:37:00;0;6.03;5.94
10/14/2014 06:38:00;5.94;0;3.06
10/14/2014 06:39:00;0;6.03;2.91
10/14/2014 06:40:00;5.94;0;3.06
10/14/2014 06:41:00;5.94;6.03;2.91
10/14/2014 06:42:00;0;0;3.09
10/14/2014 06:43:00;5.94;6.03;2.91
10/14/2014 06:44:00;0;0;3.09
10/14/2014 06:45:00;5.94;6.03;0
10/14/2014 06:46:00;0;0;6
10/14/2014 06:47:00;0;6.03;0
10/14/2014 06:48:00;5.94;0;6.03
10/14/2014 06:49:00;0;6.03;0
10/14/2014 06:50:00;5.94;0;3.06
10/14/2014 06:51:00;5.94;6.06;2.91
10/14/2014 06:52:00;0;0;3.12
10/14/2014 06:53:00;5.94;0;0
10/14/2014 06:54:00;0;0;2.91
10/14/2014 06:55:00;0;0;3.15
10/14/2014 06:56:00;0;0;0
10/14/2014 06:57:00;0;0;0
10/14/2014 06:58:00;0;3.06;0
10/14/2014 06:59:00;0;0;0
10/14/2014 07:00:00;0;0;0
10/14/2014 07:01:00;0;0;0
10/14/2014 07:02:00;0;0;0
10/14/2014 07:03:00;0;0;0
10/14/2014 07:04:00;0;0;0
10/14/2014 07:05:00;0;0;0
10/14/2014 07:06:00;0;0;0
10/14/2014 07:07:00;0;0;0
10/14/2014 07:08:00;0;0;0
10/14/2014 07:09:00;0;0;0
10/14/2014 07:10:00;0;0;0
10/14/2014 07:11:00;0;0;0
10/14/2014 07:12:00;0;0;0
10/14/2014 07:13:00;0;0;0
10/14/2014 07:14:00;0;0;0
10/14/2014 07:15:00;0;0;0
10/14/2014 07:16:00;0;0;0
10/14/2014 07:17:00;0;0;0
10/14/2014 07:18:00;0;0;0
10/14/2014 07:19:00;0;0;0
10/14/2014 07:20:00;0;0;0
10/14/2014 07:21:00;5.94;0;0
10/14/2014 07:22:00;0;0;0
10/14/2014 07:23:00;0;0;0
10/14/2014 07:24:00;0;3;2.91
10/14/2014 07:25:00;0;0;0
10/14/2014 07:26:00;0;0;0
10/14/2014 07:27:00;0;0;0
